Medicine name,EML section,Formulations,Indication,ATC codes,Combined with,Status,clean_name,match_aliases
acetylsalicylic acid,Antimigraine medicines > For treatment of acute attack,Oral > Solid: 300 to 500 mg,Migraine,N02BA01,,Added,acetylsalicylic acid,"['acetylsalicylic acid', 'acid', 'acetylsalicylic']"
acetylsalicylic acid,Anti-platelet medicines,Oral > Solid: 100 mg,Acute myocardial infarction,B01AC06,,Added,acetylsalicylic acid,"['acetylsalicylic acid', 'acid', 'acetylsalicylic']"
acetylsalicylic acid,Anti-platelet medicines,Oral > Solid: 100 mg,Cerebral ischaemic stroke,B01AC06,,Added,acetylsalicylic acid,"['acetylsalicylic acid', 'acid', 'acetylsalicylic']"
acetylsalicylic acid,Medicines for juvenile joint diseases,"Oral > Solid: 100 to 500 mg
Local > Rectal > Suppository: 50 to 150 mg",Acute rheumatic fever without mention of heart involvement,N02BA01,,Added,acetylsalicylic acid,"['acetylsalicylic acid', 'acid', 'acetylsalicylic']"
acetylsalicylic acid,Medicines for juvenile joint diseases,"Oral > Solid: 100 to 500 mg
Local > Rectal > Suppository: 50 to 150 mg",Mucocutaneous lymph node syndrome,N02BA01,,Added,acetylsalicylic acid,"['acetylsalicylic acid', 'acid', 'acetylsalicylic']"
acetylsalicylic acid,Medicines for juvenile joint diseases,"Oral > Solid: 100 to 500 mg
Local > Rectal > Suppository: 50 to 150 mg",Juvenile idiopathic arthritis,N02BA01,,Added,acetylsalicylic acid,"['acetylsalicylic acid', 'acid', 'acetylsalicylic']"
acetylsalicylic acid,Non-opioids and non-steroidal anti-inflammatory medicines (NSAIMs),"Oral > Solid: 100 to 500 mg
Local > Rectal > Suppository: 50 to 150 mg",Pain,N02BA01,,Added,acetylsalicylic acid,"['acetylsalicylic acid', 'acid', 'acetylsalicylic']"
acetylsalicylic acid + atorvastatin + ramipril,Fixed-dose combinations for prevention of atherosclerotic cardiovascular disease,Oral > Solid > tablet: 100 mg + 20 mg + 2.5 mg; 100 mg + 20 mg + 5 mg; 100 mg + 20 mg + 10 mg; 100 mg + 40 mg + 2.5 mg; 100 mg + 40 mg + 5 mg; 100 mg   + 40 mg + 10 mg,Atherosclerotic chronic arterial occlusive disease,C10BX06,,Added,acetylsalicylic acid + atorvastatin + ramipril,"['acetylsalicylic acid + atorvastatin + ramipril', '+', 'atorvastatin', 'ramipril', 'acid', 'acetylsalicylic']"
acetylsalicylic acid + atorvastatin + ramipril,Fixed-dose combinations for prevention of atherosclerotic cardiovascular disease,Oral > Solid > tablet: 100 mg + 20 mg + 2.5 mg; 100 mg + 20 mg + 5 mg; 100 mg + 20 mg + 10 mg; 100 mg + 40 mg + 2.5 mg; 100 mg + 40 mg + 5 mg; 100 mg   + 40 mg + 10 mg,Chronic ischaemic heart disease,C10BX06,,Added,acetylsalicylic acid + atorvastatin + ramipril,"['acetylsalicylic acid + atorvastatin + ramipril', '+', 'atorvastatin', 'ramipril', 'acid', 'acetylsalicylic']"
acetylsalicylic acid + atorvastatin + ramipril,Fixed-dose combinations for prevention of atherosclerotic cardiovascular disease,Oral > Solid > tablet: 100 mg + 20 mg + 2.5 mg; 100 mg + 20 mg + 5 mg; 100 mg + 20 mg + 10 mg; 100 mg + 40 mg + 2.5 mg; 100 mg + 40 mg + 5 mg; 100 mg   + 40 mg + 10 mg,Cerebral ischaemic stroke,C10BX06,,Added,acetylsalicylic acid + atorvastatin + ramipril,"['acetylsalicylic acid + atorvastatin + ramipril', '+', 'atorvastatin', 'ramipril', 'acid', 'acetylsalicylic']"
acetylsalicylic acid + simvastatin + ramipril + atenolol + hydrochlorothiazide,Fixed-dose combinations for prevention of atherosclerotic cardiovascular disease,Oral > Solid > tablet: 100 mg + 20 mg + 5 mg + 50 mg + 12.5 mg,Atherosclerotic chronic arterial occlusive disease,,,Added,acetylsalicylic acid + simvastatin + ramipril + atenolol + hydrochlorothiazide,"['simvastatin', 'acetylsalicylic acid + simvastatin + ramipril + atenolol + hydrochlorothiazide', 'hydrochlorothiazide', '+', 'acid', 'ramipril', 'atenolol', 'acetylsalicylic']"
acetylsalicylic acid + simvastatin + ramipril + atenolol + hydrochlorothiazide,Fixed-dose combinations for prevention of atherosclerotic cardiovascular disease,Oral > Solid > tablet: 100 mg + 20 mg + 5 mg + 50 mg + 12.5 mg,Chronic ischaemic heart disease,,,Added,acetylsalicylic acid + simvastatin + ramipril + atenolol + hydrochlorothiazide,"['simvastatin', 'acetylsalicylic acid + simvastatin + ramipril + atenolol + hydrochlorothiazide', 'hydrochlorothiazide', '+', 'acid', 'ramipril', 'atenolol', 'acetylsalicylic']"
acetylsalicylic acid + simvastatin + ramipril + atenolol + hydrochlorothiazide,Fixed-dose combinations for prevention of atherosclerotic cardiovascular disease,Oral > Solid > tablet: 100 mg + 20 mg + 5 mg + 50 mg + 12.5 mg,Cerebral ischaemic stroke,,,Added,acetylsalicylic acid + simvastatin + ramipril + atenolol + hydrochlorothiazide,"['simvastatin', 'acetylsalicylic acid + simvastatin + ramipril + atenolol + hydrochlorothiazide', 'hydrochlorothiazide', '+', 'acid', 'ramipril', 'atenolol', 'acetylsalicylic']"
aciclovir,Antiherpes medicines,"Parenteral > General injections > IV: 250 mg in vial powder for injection (as sodium salt)
Oral > Liquid: 200 mg per 5 mL
Oral > Solid: 200 mg tablet",Zoster,J05AB01,,Added,aciclovir,['aciclovir']
aciclovir,Antiherpes medicines,"Parenteral > General injections > IV: 250 mg in vial powder for injection (as sodium salt)
Oral > Liquid: 200 mg per 5 mL
Oral > Solid: 200 mg tablet",Varicella,J05AB01,,Added,aciclovir,['aciclovir']
aciclovir,Antiherpes medicines,"Parenteral > General injections > IV: 250 mg in vial powder for injection (as sodium salt)
Oral > Liquid: 200 mg per 5 mL
Oral > Solid: 200 mg tablet",Herpes simplex infections,J05AB01,,Added,aciclovir,['aciclovir']
aciclovir,Ophthalmological preparations > Anti-infective agents,Local > Ophthalmological > Ointment: 3% w/w,Herpes simplex keratitis,S01AD03,,Added,aciclovir,['aciclovir']
aclidinium,Antiasthmatic and medicines for chronic obstructive pulmonary disease,,Chronic obstructive pulmonary disease,,,Added,aclidinium,['aclidinium']
activated charcoal,Antidotes and other substances used in poisonings > Non-specific,Oral > Other: powder,"Unspecified injury, poisoning or certain other consequences of external causes",A07BA01,,Added,activated charcoal,"['charcoal', 'activated', 'activated charcoal']"
adalimumab,Immunomodulators for non-malignant disease,Parenteral > General injections > SC: 40 mg per 0.8 mL; 40 mg per 0.4 mL; 10 mg per 0.2 mL; 20 mg per 0.4 mL,Axial spondyloarthritis,L04AB04,,Added,adalimumab,['adalimumab']
adalimumab,Immunomodulators for non-malignant disease,Parenteral > General injections > SC: 40 mg per 0.8 mL; 40 mg per 0.4 mL; 10 mg per 0.2 mL; 20 mg per 0.4 mL,Crohn disease site,L04AB04,,Added,adalimumab,['adalimumab']
adalimumab,Immunomodulators for non-malignant disease,Parenteral > General injections > SC: 40 mg per 0.8 mL; 40 mg per 0.4 mL; 10 mg per 0.2 mL; 20 mg per 0.4 mL,Rheumatoid arthritis,L04AB04,,Added,adalimumab,['adalimumab']
adalimumab,Medicines for juvenile joint diseases,Parenteral > General injections > SC: 40 mg per 0.8 mL; 40 mg per 0.4 mL; 10 mg per 0.2 mL; 20 mg per 0.4 mL,Juvenile idiopathic arthritis,L04AB04,,Added,adalimumab,['adalimumab']
afatinib,Targeted therapies,,Other specified malignant neoplasms of bronchus or lung,,,Added,afatinib,['afatinib']
albendazole,Intestinal anthelminthics,"Oral > Solid > tablet: 400 mg (chewable, scored)",Echinococcosis,P02CA03,,Added,albendazole,['albendazole']
albendazole,Intestinal anthelminthics,"Oral > Solid > tablet: 400 mg (chewable, scored)",Enterobiasis,P02CA03,,Added,albendazole,['albendazole']
albendazole,Intestinal anthelminthics,"Oral > Solid > tablet: 400 mg (chewable, scored)",Trichuriasis,P02CA03,,Added,albendazole,['albendazole']
albendazole,Intestinal anthelminthics,"Oral > Solid > tablet: 400 mg (chewable, scored)",Hookworm diseases,P02CA03,,Added,albendazole,['albendazole']
albendazole,Intestinal anthelminthics,"Oral > Solid > tablet: 400 mg (chewable, scored)",Cysticercosis,P02CA03,,Added,albendazole,['albendazole']
albendazole,Intestinal anthelminthics,"Oral > Solid > tablet: 400 mg (chewable, scored)",Ascariasis,P02CA03,,Added,albendazole,['albendazole']
albendazole,Cysticidal medicines,"Oral > Solid > tablet: 400 mg (chewable, scored); 200 mg (chewable)",Other specified echinococcosis,P02CA03,,Added,albendazole,['albendazole']
albendazole,Cysticidal medicines,"Oral > Solid > tablet: 400 mg (chewable, scored); 200 mg (chewable)",Cysticercosis of central nervous system,P02CA03,,Added,albendazole,['albendazole']
albendazole,Antifilarials,"Oral > Solid > tablet: 400 mg (chewable, scored)",Lymphatic filariasis,P02CA03,,Added,albendazole,['albendazole']
alcohol based hand rub,Disinfectants,Local > Topical > Solution: 80% v/v ethanol; 75% v/v isopropyl alcohol,Denatured alcohol,D08AX08,,Added,alcohol based hand rub,"['alcohol based hand rub', 'rub', 'alcohol', 'hand', 'based']"
all-trans retinoic acid,Targeted therapies,Oral > Solid: 10 mg capsule,Acute myeloid leukaemia with recurrent genetic abnormalities,L01XF01,,Added,all-trans retinoic acid,"['all-trans retinoic acid', 'all-trans', 'retinoic', 'acid']"
allopurinol,Medicines used to treat gout,Oral > Solid: 100 mg,Gout,M04AA01,,Added,allopurinol,['allopurinol']
allopurinol,Supportive medicines,Oral > Solid: 100 mg; 300 mg,Tumour lysis syndrome,M04AA01,,Added,allopurinol,['allopurinol']
alteplase,Thrombolytic medicines,Parenteral > General injections > IV: 10 mg in vial powder for injection; 20 mg in vial powder for injection; 50 mg in vial powder for injection,Cerebral ischaemic stroke,B01AD02,,Added,alteplase,['alteplase']
amidotrizoate,Diagnostic agents > Radiocontrast media,Parenteral > General injections > unspecified: 140 to 420 mg iodine per  mL in 20 mL ampoule (as sodium or meglumine salt),Amidotrizoate,V08AA01,,Added,amidotrizoate,['amidotrizoate']
amikacin,Ophthalmological preparations > Anti-infective agents,,Other specified conjunctivitis,,,Added,amikacin,['amikacin']
amikacin,Ophthalmological preparations > Anti-infective agents,,Infectious blepharitis,,,Added,amikacin,['amikacin']
amikacin,Antituberculosis medicines,Parenteral > General injections > unspecified: 250 mg per  mL in 2 mL vial (as sulfate),Multi-drug resistant Mycobacterium tuberculosis,J01GB06,,Added,amikacin,['amikacin']
amikacin,Access group antibiotics,"Parenteral > General injections > unspecified: 250 mg per  mL in 2 mL vial (as sulfate); 50 mg per  mL in 2 mL vial (as sulfate)
Parenteral > General injections > unspecified: 250 mg per  mL in 2 mL vial (as sulfate)",Neutropenia (high-risk),J01GB06,,Added,amikacin,['amikacin']
amikacin,Access group antibiotics,"Parenteral > General injections > unspecified: 250 mg per  mL in 2 mL vial (as sulfate); 50 mg per  mL in 2 mL vial (as sulfate)
Parenteral > General injections > unspecified: 250 mg per  mL in 2 mL vial (as sulfate)",Acute pyelonephritis (severe),J01GB06,cefotaxime,Added,amikacin,['amikacin']
amikacin,Access group antibiotics,"Parenteral > General injections > unspecified: 250 mg per  mL in 2 mL vial (as sulfate); 50 mg per  mL in 2 mL vial (as sulfate)
Parenteral > General injections > unspecified: 250 mg per  mL in 2 mL vial (as sulfate)",Acute pyelonephritis (severe),J01GB06,ceftriaxone,Added,amikacin,['amikacin']
amikacin,Access group antibiotics,"Parenteral > General injections > unspecified: 250 mg per  mL in 2 mL vial (as sulfate); 50 mg per  mL in 2 mL vial (as sulfate)
Parenteral > General injections > unspecified: 250 mg per  mL in 2 mL vial (as sulfate)",Inflammatory and other diseases of prostate (severe),J01GB06,cefotaxime,Added,amikacin,['amikacin']
amikacin,Access group antibiotics,"Parenteral > General injections > unspecified: 250 mg per  mL in 2 mL vial (as sulfate); 50 mg per  mL in 2 mL vial (as sulfate)
Parenteral > General injections > unspecified: 250 mg per  mL in 2 mL vial (as sulfate)",Inflammatory and other diseases of prostate (severe),J01GB06,ceftriaxone,Added,amikacin,['amikacin']
amikacin,Access group antibiotics,"Parenteral > General injections > unspecified: 250 mg per  mL in 2 mL vial (as sulfate); 50 mg per  mL in 2 mL vial (as sulfate)
Parenteral > General injections > unspecified: 250 mg per  mL in 2 mL vial (as sulfate)",Sepsis without septic shock,J01GB06,cloxacillin,Added,amikacin,['amikacin']
amiloride,Diuretics,Oral > Solid: 5 mg (hydrochloride),Oedema,C03DB01,,Added,amiloride,['amiloride']
amiloride,Diuretics,Oral > Solid: 5 mg (hydrochloride),Ascites,C03DB01,,Added,amiloride,['amiloride']
amiodarone,Antiarrhythmic medicines,"Parenteral > General injections > IV: 50 mg per  mL in 3 ampoule (hydrochloride)
Oral > Solid: 100 mg (hydrochloride); 200 mg (hydrochloride); 400 mg (hydrochloride)",Cardiac arrhythmia,C01BD01,,Added,amiodarone,['amiodarone']
amitriptyline,Medicines for other common symptoms in palliative care,Oral > Solid: 25 mg; 10 mg; 75 mg,Palliative care,N06AA09,,Added,amitriptyline,['amitriptyline']
amitriptyline,Medicines for depressive disorders,Oral > Solid: 25 mg; 75 mg,Depressive disorders,N06AA09,,Added,amitriptyline,['amitriptyline']
amlodipine,Antihypertensive medicines,"Oral > Solid: 5 mg (as maleate, mesylate or besylate)",Essential hypertension,C08CA01,,Added,amlodipine,['amlodipine']
amodiaquine,Antimalarial medicines > For curative treatment,Oral > Solid: 153 mg (as hydrochloride); 200 mg (as hydrochloride),Malaria due to Plasmodium falciparum,P01BA06,,Added,amodiaquine,['amodiaquine']
amodiaquine,Antimalarial medicines > For curative treatment,Oral > Solid: 153 mg (as hydrochloride); 200 mg (as hydrochloride),Malaria due to Plasmodium vivax,P01BA06,,Added,amodiaquine,['amodiaquine']
amodiaquine + sulfadoxine + pyrimethamine,Antimalarial medicines > For chemoprevention,Oral > Solid: 76.5 mg (as hydrochloride) [3] + 250 mg + 12.5 mg [1] dispersible tablets in co-package; 153 mg (as hydrochloride) [3] + 500 mg + 25 mg [1] dispersible tablets in co-package,Malaria,"P01BA06, P01BD51",,Added,amodiaquine + sulfadoxine + pyrimethamine,"['sulfadoxine', 'pyrimethamine', 'amodiaquine', 'amodiaquine + sulfadoxine + pyrimethamine', '+']"
amoxicillin,Access group antibiotics,"Oral > Liquid: 125 mg per 5 mL (as trihydrate) powder for oral liquid; 250 mg per 5 mL (as trihydrate) powder for oral liquid
Parenteral > General injections > unspecified: 250 mg in vial (as sodium) powder for injection; 500 mg in vial (as sodium) powder for injection; 1 g in vial (as sodium) powder for injection
Oral > Solid > dispersible tablet: 250 mg (scored) (as trihydrate); 500 mg (scored) (as trihydrate)
Oral > Solid > dosage form: 250 mg (as trihydrate); 500 mg (as trihydrate)
Oral > Liquid: 125 mg per 5 mL (anhydrous) powder for oral liquid; 250 mg per 5 mL (anhydrous) powder for oral liquid
Oral > Solid > dosage form: 250 mg (as trihydrate); 500 mg (as trihydrate); 1 g (as trihydrate)",Acute pharyngitis,J01CA04,,Added,amoxicillin,['amoxicillin']
amoxicillin,Access group antibiotics,"Oral > Liquid: 125 mg per 5 mL (as trihydrate) powder for oral liquid; 250 mg per 5 mL (as trihydrate) powder for oral liquid
Parenteral > General injections > unspecified: 250 mg in vial (as sodium) powder for injection; 500 mg in vial (as sodium) powder for injection; 1 g in vial (as sodium) powder for injection
Oral > Solid > dispersible tablet: 250 mg (scored) (as trihydrate); 500 mg (scored) (as trihydrate)
Oral > Solid > dosage form: 250 mg (as trihydrate); 500 mg (as trihydrate)
Oral > Liquid: 125 mg per 5 mL (anhydrous) powder for oral liquid; 250 mg per 5 mL (anhydrous) powder for oral liquid
Oral > Solid > dosage form: 250 mg (as trihydrate); 500 mg (as trihydrate); 1 g (as trihydrate)",Periapical abscess without sinus,J01CA04,,Added,amoxicillin,['amoxicillin']
amoxicillin,Access group antibiotics,"Oral > Liquid: 125 mg per 5 mL (as trihydrate) powder for oral liquid; 250 mg per 5 mL (as trihydrate) powder for oral liquid
Parenteral > General injections > unspecified: 250 mg in vial (as sodium) powder for injection; 500 mg in vial (as sodium) powder for injection; 1 g in vial (as sodium) powder for injection
Oral > Solid > dispersible tablet: 250 mg (scored) (as trihydrate); 500 mg (scored) (as trihydrate)
Oral > Solid > dosage form: 250 mg (as trihydrate); 500 mg (as trihydrate)
Oral > Liquid: 125 mg per 5 mL (anhydrous) powder for oral liquid; 250 mg per 5 mL (anhydrous) powder for oral liquid
Oral > Solid > dosage form: 250 mg (as trihydrate); 500 mg (as trihydrate); 1 g (as trihydrate)",Acute sinusitis,J01CA04,,Added,amoxicillin,['amoxicillin']
amoxicillin,Access group antibiotics,"Oral > Liquid: 125 mg per 5 mL (as trihydrate) powder for oral liquid; 250 mg per 5 mL (as trihydrate) powder for oral liquid
Parenteral > General injections > unspecified: 250 mg in vial (as sodium) powder for injection; 500 mg in vial (as sodium) powder for injection; 1 g in vial (as sodium) powder for injection
Oral > Solid > dispersible tablet: 250 mg (scored) (as trihydrate); 500 mg (scored) (as trihydrate)
Oral > Solid > dosage form: 250 mg (as trihydrate); 500 mg (as trihydrate)
Oral > Liquid: 125 mg per 5 mL (anhydrous) powder for oral liquid; 250 mg per 5 mL (anhydrous) powder for oral liquid
Oral > Solid > dosage form: 250 mg (as trihydrate); 500 mg (as trihydrate); 1 g (as trihydrate)",Acute otitis media,J01CA04,,Added,amoxicillin,['amoxicillin']
amoxicillin,Access group antibiotics,"Oral > Liquid: 125 mg per 5 mL (as trihydrate) powder for oral liquid; 250 mg per 5 mL (as trihydrate) powder for oral liquid
Parenteral > General injections > unspecified: 250 mg in vial (as sodium) powder for injection; 500 mg in vial (as sodium) powder for injection; 1 g in vial (as sodium) powder for injection
Oral > Solid > dispersible tablet: 250 mg (scored) (as trihydrate); 500 mg (scored) (as trihydrate)
Oral > Solid > dosage form: 250 mg (as trihydrate); 500 mg (as trihydrate)
Oral > Liquid: 125 mg per 5 mL (anhydrous) powder for oral liquid; 250 mg per 5 mL (anhydrous) powder for oral liquid
Oral > Solid > dosage form: 250 mg (as trihydrate); 500 mg (as trihydrate); 1 g (as trihydrate)",Chronic obstructive pulmonary disease with acute exacerbation,J01CA04,,Added,amoxicillin,['amoxicillin']
amoxicillin,Access group antibiotics,"Oral > Liquid: 125 mg per 5 mL (as trihydrate) powder for oral liquid; 250 mg per 5 mL (as trihydrate) powder for oral liquid
Parenteral > General injections > unspecified: 250 mg in vial (as sodium) powder for injection; 500 mg in vial (as sodium) powder for injection; 1 g in vial (as sodium) powder for injection
Oral > Solid > dispersible tablet: 250 mg (scored) (as trihydrate); 500 mg (scored) (as trihydrate)
Oral > Solid > dosage form: 250 mg (as trihydrate); 500 mg (as trihydrate)
Oral > Liquid: 125 mg per 5 mL (anhydrous) powder for oral liquid; 250 mg per 5 mL (anhydrous) powder for oral liquid
Oral > Solid > dosage form: 250 mg (as trihydrate); 500 mg (as trihydrate); 1 g (as trihydrate)",Sepsis without septic shock,J01CA04,gentamicin,Added,amoxicillin,['amoxicillin']
amoxicillin,Access group antibiotics,"Oral > Liquid: 125 mg per 5 mL (as trihydrate) powder for oral liquid; 250 mg per 5 mL (as trihydrate) powder for oral liquid
Parenteral > General injections > unspecified: 250 mg in vial (as sodium) powder for injection; 500 mg in vial (as sodium) powder for injection; 1 g in vial (as sodium) powder for injection
Oral > Solid > dispersible tablet: 250 mg (scored) (as trihydrate); 500 mg (scored) (as trihydrate)
Oral > Solid > dosage form: 250 mg (as trihydrate); 500 mg (as trihydrate)
Oral > Liquid: 125 mg per 5 mL (anhydrous) powder for oral liquid; 250 mg per 5 mL (anhydrous) powder for oral liquid
Oral > Solid > dosage form: 250 mg (as trihydrate); 500 mg (as trihydrate); 1 g (as trihydrate)",Bacterial pneumonia (Community-acquired pneumonia - mild to moderate),J01CA04,,Added,amoxicillin,['amoxicillin']
amoxicillin,Access group antibiotics,"Oral > Liquid: 125 mg per 5 mL (as trihydrate) powder for oral liquid; 250 mg per 5 mL (as trihydrate) powder for oral liquid
Parenteral > General injections > unspecified: 250 mg in vial (as sodium) powder for injection; 500 mg in vial (as sodium) powder for injection; 1 g in vial (as sodium) powder for injection
Oral > Solid > dispersible tablet: 250 mg (scored) (as trihydrate); 500 mg (scored) (as trihydrate)
Oral > Solid > dosage form: 250 mg (as trihydrate); 500 mg (as trihydrate)
Oral > Liquid: 125 mg per 5 mL (anhydrous) powder for oral liquid; 250 mg per 5 mL (anhydrous) powder for oral liquid
Oral > Solid > dosage form: 250 mg (as trihydrate); 500 mg (as trihydrate); 1 g (as trihydrate)",Bacterial pneumonia (Community-acquired pneumonia - severe) [children],J01CA04,gentamicin,Added,amoxicillin,['amoxicillin']
amoxicillin,Access group antibiotics,"Oral > Liquid: 125 mg per 5 mL (as trihydrate) powder for oral liquid; 250 mg per 5 mL (as trihydrate) powder for oral liquid
Parenteral > General injections > unspecified: 250 mg in vial (as sodium) powder for injection; 500 mg in vial (as sodium) powder for injection; 1 g in vial (as sodium) powder for injection
Oral > Solid > dispersible tablet: 250 mg (scored) (as trihydrate); 500 mg (scored) (as trihydrate)
Oral > Solid > dosage form: 250 mg (as trihydrate); 500 mg (as trihydrate)
Oral > Liquid: 125 mg per 5 mL (anhydrous) powder for oral liquid; 250 mg per 5 mL (anhydrous) powder for oral liquid
Oral > Solid > dosage form: 250 mg (as trihydrate); 500 mg (as trihydrate); 1 g (as trihydrate)","Acute malnutrition in infants, children or adolescents (uncomplicated) [children]",J01CA04,,Added,amoxicillin,['amoxicillin']
amoxicillin,Access group antibiotics,"Oral > Liquid: 125 mg per 5 mL (as trihydrate) powder for oral liquid; 250 mg per 5 mL (as trihydrate) powder for oral liquid
Parenteral > General injections > unspecified: 250 mg in vial (as sodium) powder for injection; 500 mg in vial (as sodium) powder for injection; 1 g in vial (as sodium) powder for injection
Oral > Solid > dispersible tablet: 250 mg (scored) (as trihydrate); 500 mg (scored) (as trihydrate)
Oral > Solid > dosage form: 250 mg (as trihydrate); 500 mg (as trihydrate)
Oral > Liquid: 125 mg per 5 mL (anhydrous) powder for oral liquid; 250 mg per 5 mL (anhydrous) powder for oral liquid
Oral > Solid > dosage form: 250 mg (as trihydrate); 500 mg (as trihydrate); 1 g (as trihydrate)","Acute malnutrition in infants, children or adolescents (complicated) [children]",J01CA04,,Added,amoxicillin,['amoxicillin']
amoxicillin,Access group antibiotics,"Oral > Liquid: 125 mg per 5 mL (as trihydrate) powder for oral liquid; 250 mg per 5 mL (as trihydrate) powder for oral liquid
Parenteral > General injections > unspecified: 250 mg in vial (as sodium) powder for injection; 500 mg in vial (as sodium) powder for injection; 1 g in vial (as sodium) powder for injection
Oral > Solid > dispersible tablet: 250 mg (scored) (as trihydrate); 500 mg (scored) (as trihydrate)
Oral > Solid > dosage form: 250 mg (as trihydrate); 500 mg (as trihydrate)
Oral > Liquid: 125 mg per 5 mL (anhydrous) powder for oral liquid; 250 mg per 5 mL (anhydrous) powder for oral liquid
Oral > Solid > dosage form: 250 mg (as trihydrate); 500 mg (as trihydrate); 1 g (as trihydrate)",Bacterial meningitis,J01CA04,,Added,amoxicillin,['amoxicillin']
amoxicillin + clavulanic acid,Access group antibiotics,"Parenteral > General injections > IV: 500 mg (as sodium salt) + 100 mg (as potassium salt) powder for injection; 1000 mg (as sodium salt) + 200 mg (as potassium salt) powder for injection
Oral > Liquid: 125 mg (as trihydrate) + 31.25 mg (as potassium salt) / 5 mL powder for oral liquid; 250 mg (as trihydrate) + 62.5 mg (as potassium salt) / 5 mL powder for oral liquid
Oral > Solid > dispersible tablet: 200 mg (as trihydrate) + 28.5 mg (as potassium salt); 250 mg (as trihydrate) + 62.5 mg (as potassium salt)
Oral > Solid > tablet: 500 mg (as trihydrate) + 125 mg (as potassium salt); 875 mg (as trihydrate) + 125 mg (as potassium salt)
Oral > Solid > tablet: 500 mg (as trihydrate) + 125 mg (as potassium salt)",Bacterial pneumonia (Community-acquired pneumonia - severe) [children],J01CR02,,Added,amoxicillin + clavulanic acid,"['amoxicillin + clavulanic acid', 'amoxicillin', 'clavulanic', '+', 'acid']"
amoxicillin + clavulanic acid,Access group antibiotics,"Parenteral > General injections > IV: 500 mg (as sodium salt) + 100 mg (as potassium salt) powder for injection; 1000 mg (as sodium salt) + 200 mg (as potassium salt) powder for injection
Oral > Liquid: 125 mg (as trihydrate) + 31.25 mg (as potassium salt) / 5 mL powder for oral liquid; 250 mg (as trihydrate) + 62.5 mg (as potassium salt) / 5 mL powder for oral liquid
Oral > Solid > dispersible tablet: 200 mg (as trihydrate) + 28.5 mg (as potassium salt); 250 mg (as trihydrate) + 62.5 mg (as potassium salt)
Oral > Solid > tablet: 500 mg (as trihydrate) + 125 mg (as potassium salt); 875 mg (as trihydrate) + 125 mg (as potassium salt)
Oral > Solid > tablet: 500 mg (as trihydrate) + 125 mg (as potassium salt)",Peritonitis (mild-moderate),J01CR02,,Added,amoxicillin + clavulanic acid,"['amoxicillin + clavulanic acid', 'amoxicillin', 'clavulanic', '+', 'acid']"
